filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2008,2010,ECU,ARB/08/4,Murphy Exploration and Production Company International v. Republic of Ecuador,0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-United States BIT,Oil and gas,OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2007,2010,GHA,ARB/07/24,Gustav F W Hamester GmbH & Co KG v. Republic of Ghana,0,3,1,2,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Ghana BIT,Agricultural enterprise (cocoa),AGR,Over ?_100m,144,yes,0,0,no,n.a.,n.a.,n.a.
2007,2010,HUN,ARB/07/22,AES Summit Generation Limited and AES-Tisza Eromu Kft. v. Republic of Hungary,0,3,1,2,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession,UTL,unknown,unknown,yes,0,0,yes,2011,2012,upheld
2008,2010,JOR,ARB/08/2,"ATA Construction, Industrial and Trading Company v. Hashemite Kingdom of Jordan",0,0,NA,NA,TUR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Jordan-Turkey BIT,Water services concession,UTL,unknown,unknown,yes,0,0,yes,2010,2011,discontinued
2007,2010,KAZ,ARB/07/14,Liman Caspian Oil BV & NCL Dutch Investment BV v. Republic of Kazakhstan,0,2,NA,1,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2004,2010,MEX,ARB(AF)/04/3 (conjoined with ARB (AF)/04/4),"Gemplus S.A., SLP S.A., Gemplus Industrial S.A. de C.V. v. United Mexican States",0,1,0,0,FRA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,France-Mexico BIT,Operate national motor vehicle registry,SER,minimum claim is 20% of 222 million pesos or US$24m,4.8,yes,US$4483164 plus interest and costs,4.5,no,n.a.,n.a.,n.a.
2004,2010,MEX,ARB(AF)/04/4 (conjoined with ARB(AF)/04/3),Talsud SA v. United Mexican States,0,1,0,0,ARG,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Argentina-Mexico BIT,Operate national motor vehicle registry,SER,minimum claim is 29% of 222 million pesos or US$24m,7,yes,US$6458721 plus interest and costs,6.5,no,n.a.,n.a.,n.a.
2006,2010,PAN,ARB/06/19,"Nations Energy, Inc., et al v. Republic of Panama",0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Panama-United States BIT,Electric power concession,UTL,unknown,unknown,yes,0,0,yes,2011,2012,discontinued
2008,2010,TJK,V064/2008,Mohammad Ammar Al-Bahloul v. The Republic of Tajikistan,0,3,1,2,AUT,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Oil and gas,OIL,US$230m,230,yes,Tribunal held that the circumstances dictated that Respondent compensate the claimant for ?_300k of the more than ?_1.1m spent on legal costs and arbitration costs,0,n.a.,n.a.,n.a.,n.a.
2007,2010,TUR,ARB/07/20,Saba Fakes v. Republic of Turkey,0,0,NA,NA,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Turkey BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2007,2010,UKR,ARB/07/16,Alpha Projektholding GmbH v. Ukraine,0,0,NA,NA,AUT,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Austria-Ukraine BIT,Tourism (hotel),SER,at least US$3.5m,3.5,yes,"US$2.98m, plus US$5250782 in interest (each party to pay their legal costs, Respondent to pay cost of arbitration)",3,no,n.a.,n.a.,n.a.
2009,2010,UKR,ARB/09/11,"Global Trading Resource Corp. and Globex International, Inc. v. Ukraine",0,0,NA,NA,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,United States-Ukraine BIT,Agricultural enterprise (poultry),AGR,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2003,2010,ARG,n.a.,Anglian Water Group (AWG) PLC v. Argentina,1,3,1,2,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Water services concession,UTL,Damages not quantified but estimated in excess of US$100m,100,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2005,2010,GEO,ARB/05/18,Ioannis Kardossopoulos v. Georgia,1,0,NA,NA,GRC,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Georgia-Greece BIT, Energy Charter Treaty",Oil and gas,OIL,US$350m,350,yes,"US$15.12m, plus interest and legal fees",15.1,yes,2010,2011,upheld
2007,2010,GEO,ARB/07/15 [joined to ARB/05/18],Ron Fuchs v. Republic of Georgia,1,0,NA,NA,ISR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Georgia-Israel BIT,Oil and gas,OIL,Enumerated two claims: US$15.1m plus $3m,18,yes,"US$15.12m, plus interest and legal fees",15.1,yes,2010,2011,discontinued
